Algoritmo(Tamanho(Run));Mov;Comp;Tempo(ms)
SelectionSort(100)(1);297;4950;0
SelectionSort(100)(2);297;4950;0
SelectionSort(100)(3);297;4950;0
SelectionSort(100)(4);297;4950;0
SelectionSort(100)(5);297;4950;0
SelectionSort(100)(6);297;4950;0
SelectionSort(100)(7);297;4950;0
SelectionSort(100)(8);297;4950;0
SelectionSort(100)(9);297;4950;0
SelectionSort(100)(10);297;4950;0
SelectionSort(100)(11);297;4950;0
SelectionSort(100)(12);297;4950;0
SelectionSort(100)(13);297;4950;0
SelectionSort(100)(14);297;4950;0
SelectionSort(100)(15);297;4950;0
SelectionSort(100)(16);297;4950;0
SelectionSort(100)(17);297;4950;0
SelectionSort(100)(18);297;4950;0
SelectionSort(100)(19);297;4950;0
SelectionSort(100)(20);297;4950;0
SelectionSort(100)(21);297;4950;0
SelectionSort(100)(22);297;4950;0
SelectionSort(100)(23);297;4950;0
SelectionSort(100)(24);297;4950;0
SelectionSort(100)(25);297;4950;0
SelectionSort(100)(26);297;4950;0
SelectionSort(100)(27);297;4950;0
SelectionSort(100)(28);297;4950;0
SelectionSort(100)(29);297;4950;0
SelectionSort(100)(30);297;4950;0
InsertionSort(100)(1);2754;2651;0
InsertionSort(100)(2);2754;2651;0
InsertionSort(100)(3);2754;2651;0
InsertionSort(100)(4);2754;2651;0
InsertionSort(100)(5);2754;2651;0
InsertionSort(100)(6);2754;2651;0
InsertionSort(100)(7);2754;2651;0
InsertionSort(100)(8);2754;2651;0
InsertionSort(100)(9);2754;2651;0
InsertionSort(100)(10);2754;2651;0
InsertionSort(100)(11);2754;2651;0
InsertionSort(100)(12);2754;2651;0
InsertionSort(100)(13);2754;2651;0
InsertionSort(100)(14);2754;2651;0
InsertionSort(100)(15);2754;2651;0
InsertionSort(100)(16);2754;2651;0
InsertionSort(100)(17);2754;2651;0
InsertionSort(100)(18);2754;2651;0
InsertionSort(100)(19);2754;2651;0
InsertionSort(100)(20);2754;2651;0
InsertionSort(100)(21);2754;2651;0
InsertionSort(100)(22);2754;2651;0
InsertionSort(100)(23);2754;2651;0
InsertionSort(100)(24);2754;2651;0
InsertionSort(100)(25);2754;2651;0
InsertionSort(100)(26);2754;2651;0
InsertionSort(100)(27);2754;2651;0
InsertionSort(100)(28);2754;2651;0
InsertionSort(100)(29);2754;2651;0
InsertionSort(100)(30);2754;2651;0
BubbleSort(100)(1);7668;4949;0
BubbleSort(100)(2);7668;4949;0
BubbleSort(100)(3);7668;4949;0
BubbleSort(100)(4);7668;4949;0
BubbleSort(100)(5);7668;4949;0
BubbleSort(100)(6);7668;4949;0
BubbleSort(100)(7);7668;4949;0
BubbleSort(100)(8);7668;4949;0
BubbleSort(100)(9);7668;4949;0
BubbleSort(100)(10);7668;4949;0
BubbleSort(100)(11);7668;4949;0
BubbleSort(100)(12);7668;4949;0
BubbleSort(100)(13);7668;4949;0
BubbleSort(100)(14);7668;4949;0
BubbleSort(100)(15);7668;4949;0
BubbleSort(100)(16);7668;4949;0
BubbleSort(100)(17);7668;4949;0
BubbleSort(100)(18);7668;4949;0
BubbleSort(100)(19);7668;4949;0
BubbleSort(100)(20);7668;4949;0
BubbleSort(100)(21);7668;4949;0
BubbleSort(100)(22);7668;4949;0
BubbleSort(100)(23);7668;4949;0
BubbleSort(100)(24);7668;4949;0
BubbleSort(100)(25);7668;4949;0
BubbleSort(100)(26);7668;4949;0
BubbleSort(100)(27);7668;4949;0
BubbleSort(100)(28);7668;4949;0
BubbleSort(100)(29);7668;4949;0
BubbleSort(100)(30);7668;4949;0
QuickSort(100)(1);531;740;0
QuickSort(100)(2);531;740;0
QuickSort(100)(3);531;740;0
QuickSort(100)(4);531;740;0
QuickSort(100)(5);531;740;0
QuickSort(100)(6);531;740;0
QuickSort(100)(7);531;740;0
QuickSort(100)(8);531;740;0
QuickSort(100)(9);531;740;0
QuickSort(100)(10);531;740;0
QuickSort(100)(11);531;740;0
QuickSort(100)(12);531;740;0
QuickSort(100)(13);531;740;0
QuickSort(100)(14);531;740;0
QuickSort(100)(15);531;740;0
QuickSort(100)(16);531;740;0
QuickSort(100)(17);531;740;0
QuickSort(100)(18);531;740;0
QuickSort(100)(19);531;740;0
QuickSort(100)(20);531;740;0
QuickSort(100)(21);531;740;0
QuickSort(100)(22);531;740;0
QuickSort(100)(23);531;740;0
QuickSort(100)(24);531;740;0
QuickSort(100)(25);531;740;0
QuickSort(100)(26);531;740;0
QuickSort(100)(27);531;740;0
QuickSort(100)(28);531;740;0
QuickSort(100)(29);531;740;0
QuickSort(100)(30);531;740;0
SelectionSort(1000)(1);2997;499500;0
SelectionSort(1000)(2);2997;499500;0
SelectionSort(1000)(3);2997;499500;0
SelectionSort(1000)(4);2997;499500;0
SelectionSort(1000)(5);2997;499500;0
SelectionSort(1000)(6);2997;499500;1
SelectionSort(1000)(7);2997;499500;1
SelectionSort(1000)(8);2997;499500;1
SelectionSort(1000)(9);2997;499500;1
SelectionSort(1000)(10);2997;499500;1
SelectionSort(1000)(11);2997;499500;1
SelectionSort(1000)(12);2997;499500;1
SelectionSort(1000)(13);2997;499500;1
SelectionSort(1000)(14);2997;499500;1
SelectionSort(1000)(15);2997;499500;1
SelectionSort(1000)(16);2997;499500;1
SelectionSort(1000)(17);2997;499500;1
SelectionSort(1000)(18);2997;499500;1
SelectionSort(1000)(19);2997;499500;1
SelectionSort(1000)(20);2997;499500;1
SelectionSort(1000)(21);2997;499500;1
SelectionSort(1000)(22);2997;499500;1
SelectionSort(1000)(23);2997;499500;1
SelectionSort(1000)(24);2997;499500;1
SelectionSort(1000)(25);2997;499500;1
SelectionSort(1000)(26);2997;499500;1
SelectionSort(1000)(27);2997;499500;1
SelectionSort(1000)(28);2997;499500;1
SelectionSort(1000)(29);2997;499500;1
SelectionSort(1000)(30);2997;499500;1
InsertionSort(1000)(1);246371;245366;1
InsertionSort(1000)(2);246371;245366;0
InsertionSort(1000)(3);246371;245366;1
InsertionSort(1000)(4);246371;245366;1
InsertionSort(1000)(5);246371;245366;1
InsertionSort(1000)(6);246371;245366;0
InsertionSort(1000)(7);246371;245366;0
InsertionSort(1000)(8);246371;245366;0
InsertionSort(1000)(9);246371;245366;0
InsertionSort(1000)(10);246371;245366;0
InsertionSort(1000)(11);246371;245366;0
InsertionSort(1000)(12);246371;245366;0
InsertionSort(1000)(13);246371;245366;0
InsertionSort(1000)(14);246371;245366;0
InsertionSort(1000)(15);246371;245366;0
InsertionSort(1000)(16);246371;245366;0
InsertionSort(1000)(17);246371;245366;0
InsertionSort(1000)(18);246371;245366;0
InsertionSort(1000)(19);246371;245366;0
InsertionSort(1000)(20);246371;245366;0
InsertionSort(1000)(21);246371;245366;0
InsertionSort(1000)(22);246371;245366;0
InsertionSort(1000)(23);246371;245366;0
InsertionSort(1000)(24);246371;245366;0
InsertionSort(1000)(25);246371;245366;0
InsertionSort(1000)(26);246371;245366;0
InsertionSort(1000)(27);246371;245366;0
InsertionSort(1000)(28);246371;245366;0
InsertionSort(1000)(29);246371;245366;0
InsertionSort(1000)(30);246371;245366;0
BubbleSort(1000)(1);733119;499122;0
BubbleSort(1000)(2);733119;499122;0
BubbleSort(1000)(3);733119;499122;0
BubbleSort(1000)(4);733119;499122;0
BubbleSort(1000)(5);733119;499122;0
BubbleSort(1000)(6);733119;499122;0
BubbleSort(1000)(7);733119;499122;0
BubbleSort(1000)(8);733119;499122;0
BubbleSort(1000)(9);733119;499122;0
BubbleSort(1000)(10);733119;499122;0
BubbleSort(1000)(11);733119;499122;0
BubbleSort(1000)(12);733119;499122;0
BubbleSort(1000)(13);733119;499122;0
BubbleSort(1000)(14);733119;499122;0
BubbleSort(1000)(15);733119;499122;0
BubbleSort(1000)(16);733119;499122;0
BubbleSort(1000)(17);733119;499122;0
BubbleSort(1000)(18);733119;499122;0
BubbleSort(1000)(19);733119;499122;0
BubbleSort(1000)(20);733119;499122;0
BubbleSort(1000)(21);733119;499122;0
BubbleSort(1000)(22);733119;499122;0
BubbleSort(1000)(23);733119;499122;0
BubbleSort(1000)(24);733119;499122;0
BubbleSort(1000)(25);733119;499122;0
BubbleSort(1000)(26);733119;499122;0
BubbleSort(1000)(27);733119;499122;0
BubbleSort(1000)(28);733119;499122;0
BubbleSort(1000)(29);733119;499122;0
BubbleSort(1000)(30);733119;499122;0
QuickSort(1000)(1);7965;10771;0
QuickSort(1000)(2);7965;10771;0
QuickSort(1000)(3);7965;10771;0
QuickSort(1000)(4);7965;10771;0
QuickSort(1000)(5);7965;10771;0
QuickSort(1000)(6);7965;10771;0
QuickSort(1000)(7);7965;10771;0
QuickSort(1000)(8);7965;10771;0
QuickSort(1000)(9);7965;10771;0
QuickSort(1000)(10);7965;10771;0
QuickSort(1000)(11);7965;10771;0
QuickSort(1000)(12);7965;10771;0
QuickSort(1000)(13);7965;10771;0
QuickSort(1000)(14);7965;10771;0
QuickSort(1000)(15);7965;10771;0
QuickSort(1000)(16);7965;10771;0
QuickSort(1000)(17);7965;10771;0
QuickSort(1000)(18);7965;10771;0
QuickSort(1000)(19);7965;10771;0
QuickSort(1000)(20);7965;10771;0
QuickSort(1000)(21);7965;10771;0
QuickSort(1000)(22);7965;10771;0
QuickSort(1000)(23);7965;10771;0
QuickSort(1000)(24);7965;10771;0
QuickSort(1000)(25);7965;10771;0
QuickSort(1000)(26);7965;10771;0
QuickSort(1000)(27);7965;10771;0
QuickSort(1000)(28);7965;10771;0
QuickSort(1000)(29);7965;10771;0
QuickSort(1000)(30);7965;10771;0
SelectionSort(10000)(1);29997;49995000;126
SelectionSort(10000)(2);29997;49995000;130
SelectionSort(10000)(3);29997;49995000;137
SelectionSort(10000)(4);29997;49995000;135
SelectionSort(10000)(5);29997;49995000;135
SelectionSort(10000)(6);29997;49995000;134
SelectionSort(10000)(7);29997;49995000;150
SelectionSort(10000)(8);29997;49995000;139
SelectionSort(10000)(9);29997;49995000;134
SelectionSort(10000)(10);29997;49995000;136
SelectionSort(10000)(11);29997;49995000;133
SelectionSort(10000)(12);29997;49995000;210
SelectionSort(10000)(13);29997;49995000;183
SelectionSort(10000)(14);29997;49995000;134
SelectionSort(10000)(15);29997;49995000;145
SelectionSort(10000)(16);29997;49995000;145
SelectionSort(10000)(17);29997;49995000;155
SelectionSort(10000)(18);29997;49995000;135
SelectionSort(10000)(19);29997;49995000;133
SelectionSort(10000)(20);29997;49995000;127
SelectionSort(10000)(21);29997;49995000;129
SelectionSort(10000)(22);29997;49995000;127
SelectionSort(10000)(23);29997;49995000;134
SelectionSort(10000)(24);29997;49995000;131
SelectionSort(10000)(25);29997;49995000;135
SelectionSort(10000)(26);29997;49995000;132
SelectionSort(10000)(27);29997;49995000;134
SelectionSort(10000)(28);29997;49995000;129
SelectionSort(10000)(29);29997;49995000;127
SelectionSort(10000)(30);29997;49995000;129
InsertionSort(10000)(1);24958747;24948742;9
InsertionSort(10000)(2);24958747;24948742;9
InsertionSort(10000)(3);24958747;24948742;9
InsertionSort(10000)(4);24958747;24948742;9
InsertionSort(10000)(5);24958747;24948742;9
InsertionSort(10000)(6);24958747;24948742;9
InsertionSort(10000)(7);24958747;24948742;9
InsertionSort(10000)(8);24958747;24948742;9
InsertionSort(10000)(9);24958747;24948742;9
InsertionSort(10000)(10);24958747;24948742;9
InsertionSort(10000)(11);24958747;24948742;9
InsertionSort(10000)(12);24958747;24948742;9
InsertionSort(10000)(13);24958747;24948742;9
InsertionSort(10000)(14);24958747;24948742;9
InsertionSort(10000)(15);24958747;24948742;9
InsertionSort(10000)(16);24958747;24948742;9
InsertionSort(10000)(17);24958747;24948742;9
InsertionSort(10000)(18);24958747;24948742;9
InsertionSort(10000)(19);24958747;24948742;9
InsertionSort(10000)(20);24958747;24948742;9
InsertionSort(10000)(21);24958747;24948742;9
InsertionSort(10000)(22);24958747;24948742;9
InsertionSort(10000)(23);24958747;24948742;9
InsertionSort(10000)(24);24958747;24948742;9
InsertionSort(10000)(25);24958747;24948742;11
InsertionSort(10000)(26);24958747;24948742;11
InsertionSort(10000)(27);24958747;24948742;9
InsertionSort(10000)(28);24958747;24948742;9
InsertionSort(10000)(29);24958747;24948742;9
InsertionSort(10000)(30);24958747;24948742;9
BubbleSort(10000)(1);74816247;49965597;50
BubbleSort(10000)(2);74816247;49965597;45
BubbleSort(10000)(3);74816247;49965597;45
BubbleSort(10000)(4);74816247;49965597;49
BubbleSort(10000)(5);74816247;49965597;55
BubbleSort(10000)(6);74816247;49965597;50
BubbleSort(10000)(7);74816247;49965597;50
BubbleSort(10000)(8);74816247;49965597;49
BubbleSort(10000)(9);74816247;49965597;51
BubbleSort(10000)(10);74816247;49965597;54
BubbleSort(10000)(11);74816247;49965597;49
BubbleSort(10000)(12);74816247;49965597;46
BubbleSort(10000)(13);74816247;49965597;45
BubbleSort(10000)(14);74816247;49965597;46
BubbleSort(10000)(15);74816247;49965597;51
BubbleSort(10000)(16);74816247;49965597;45
BubbleSort(10000)(17);74816247;49965597;48
BubbleSort(10000)(18);74816247;49965597;48
BubbleSort(10000)(19);74816247;49965597;52
BubbleSort(10000)(20);74816247;49965597;50
BubbleSort(10000)(21);74816247;49965597;47
BubbleSort(10000)(22);74816247;49965597;45
BubbleSort(10000)(23);74816247;49965597;46
BubbleSort(10000)(24);74816247;49965597;45
BubbleSort(10000)(25);74816247;49965597;50
BubbleSort(10000)(26);74816247;49965597;44
BubbleSort(10000)(27);74816247;49965597;54
BubbleSort(10000)(28);74816247;49965597;49
BubbleSort(10000)(29);74816247;49965597;47
BubbleSort(10000)(30);74816247;49965597;49
QuickSort(10000)(1);108261;139320;0
QuickSort(10000)(2);108261;139320;0
QuickSort(10000)(3);108261;139320;0
QuickSort(10000)(4);108261;139320;0
QuickSort(10000)(5);108261;139320;0
QuickSort(10000)(6);108261;139320;0
QuickSort(10000)(7);108261;139320;0
QuickSort(10000)(8);108261;139320;0
QuickSort(10000)(9);108261;139320;0
QuickSort(10000)(10);108261;139320;0
QuickSort(10000)(11);108261;139320;0
QuickSort(10000)(12);108261;139320;0
QuickSort(10000)(13);108261;139320;0
QuickSort(10000)(14);108261;139320;0
QuickSort(10000)(15);108261;139320;0
QuickSort(10000)(16);108261;139320;0
QuickSort(10000)(17);108261;139320;0
QuickSort(10000)(18);108261;139320;0
QuickSort(10000)(19);108261;139320;0
QuickSort(10000)(20);108261;139320;0
QuickSort(10000)(21);108261;139320;0
QuickSort(10000)(22);108261;139320;0
QuickSort(10000)(23);108261;139320;0
QuickSort(10000)(24);108261;139320;0
QuickSort(10000)(25);108261;139320;0
QuickSort(10000)(26);108261;139320;0
QuickSort(10000)(27);108261;139320;0
QuickSort(10000)(28);108261;139320;0
QuickSort(10000)(29);108261;139320;0
QuickSort(10000)(30);108261;139320;0
SelectionSort(100000)(1);299997;4999950000;12812
SelectionSort(100000)(2);299997;4999950000;12938
SelectionSort(100000)(3);299997;4999950000;13002
SelectionSort(100000)(4);299997;4999950000;13346
SelectionSort(100000)(5);299997;4999950000;13624
SelectionSort(100000)(6);299997;4999950000;13722
SelectionSort(100000)(7);299997;4999950000;13484
SelectionSort(100000)(8);299997;4999950000;13610
SelectionSort(100000)(9);299997;4999950000;13788
SelectionSort(100000)(10);299997;4999950000;13504
SelectionSort(100000)(11);299997;4999950000;13477
SelectionSort(100000)(12);299997;4999950000;13802
SelectionSort(100000)(13);299997;4999950000;13580
SelectionSort(100000)(14);299997;4999950000;13521
SelectionSort(100000)(15);299997;4999950000;13488
SelectionSort(100000)(16);299997;4999950000;13434
SelectionSort(100000)(17);299997;4999950000;12992
SelectionSort(100000)(18);299997;4999950000;13025
SelectionSort(100000)(19);299997;4999950000;12935
SelectionSort(100000)(20);299997;4999950000;12954
SelectionSort(100000)(21);299997;4999950000;13581
SelectionSort(100000)(22);299997;4999950000;13547
SelectionSort(100000)(23);299997;4999950000;13525
SelectionSort(100000)(24);299997;4999950000;13562
SelectionSort(100000)(25);299997;4999950000;13450
SelectionSort(100000)(26);299997;4999950000;13556
SelectionSort(100000)(27);299997;4999950000;13599
SelectionSort(100000)(28);299997;4999950000;13901
SelectionSort(100000)(29);299997;4999950000;13693
SelectionSort(100000)(30);299997;4999950000;13746
InsertionSort(100000)(1);2478386858;2478286854;942
InsertionSort(100000)(2);2478386858;2478286854;922
InsertionSort(100000)(3);2478386858;2478286854;916
InsertionSort(100000)(4);2478386858;2478286854;953
InsertionSort(100000)(5);2478386858;2478286854;967
InsertionSort(100000)(6);2478386858;2478286854;927
InsertionSort(100000)(7);2478386858;2478286854;913
InsertionSort(100000)(8);2478386858;2478286854;908
InsertionSort(100000)(9);2478386858;2478286854;906
InsertionSort(100000)(10);2478386858;2478286854;910
InsertionSort(100000)(11);2478386858;2478286854;909
InsertionSort(100000)(12);2478386858;2478286854;935
InsertionSort(100000)(13);2478386858;2478286854;905
InsertionSort(100000)(14);2478386858;2478286854;907
InsertionSort(100000)(15);2478386858;2478286854;903
InsertionSort(100000)(16);2478386858;2478286854;944
InsertionSort(100000)(17);2478386858;2478286854;905
InsertionSort(100000)(18);2478386858;2478286854;930
InsertionSort(100000)(19);2478386858;2478286854;930
InsertionSort(100000)(20);2478386858;2478286854;906
InsertionSort(100000)(21);2478386858;2478286854;902
InsertionSort(100000)(22);2478386858;2478286854;902
InsertionSort(100000)(23);2478386858;2478286854;903
InsertionSort(100000)(24);2478386858;2478286854;901
InsertionSort(100000)(25);2478386858;2478286854;905
InsertionSort(100000)(26);2478386858;2478286854;904
InsertionSort(100000)(27);2478386858;2478286854;947
InsertionSort(100000)(28);2478386858;2478286854;914
InsertionSort(100000)(29);2478386858;2478286854;906
InsertionSort(100000)(30);2478386858;2478286854;902
BubbleSort(100000)(1);7434560580;4999048847;11513
BubbleSort(100000)(2);7434560580;4999048847;11860
BubbleSort(100000)(3);7434560580;4999048847;12024
BubbleSort(100000)(4);7434560580;4999048847;11717
BubbleSort(100000)(5);7434560580;4999048847;11520
BubbleSort(100000)(6);7434560580;4999048847;11613
BubbleSort(100000)(7);7434560580;4999048847;11595
BubbleSort(100000)(8);7434560580;4999048847;11511
BubbleSort(100000)(9);7434560580;4999048847;11589
BubbleSort(100000)(10);7434560580;4999048847;11519
BubbleSort(100000)(11);7434560580;4999048847;11647
BubbleSort(100000)(12);7434560580;4999048847;11913
BubbleSort(100000)(13);7434560580;4999048847;11446
BubbleSort(100000)(14);7434560580;4999048847;11671
BubbleSort(100000)(15);7434560580;4999048847;11647
BubbleSort(100000)(16);7434560580;4999048847;11880
BubbleSort(100000)(17);7434560580;4999048847;11460
BubbleSort(100000)(18);7434560580;4999048847;11453
BubbleSort(100000)(19);7434560580;4999048847;11536
BubbleSort(100000)(20);7434560580;4999048847;12046
BubbleSort(100000)(21);7434560580;4999048847;11861
BubbleSort(100000)(22);7434560580;4999048847;11959
BubbleSort(100000)(23);7434560580;4999048847;12023
BubbleSort(100000)(24);7434560580;4999048847;11992
BubbleSort(100000)(25);7434560580;4999048847;11990
BubbleSort(100000)(26);7434560580;4999048847;11887
BubbleSort(100000)(27);7434560580;4999048847;11966
BubbleSort(100000)(28);7434560580;4999048847;11941
BubbleSort(100000)(29);7434560580;4999048847;11873
BubbleSort(100000)(30);7434560580;4999048847;11988
QuickSort(100000)(1);1592460;1715960;4
QuickSort(100000)(2);1592460;1715960;4
QuickSort(100000)(3);1592460;1715960;4
QuickSort(100000)(4);1592460;1715960;4
QuickSort(100000)(5);1592460;1715960;4
QuickSort(100000)(6);1592460;1715960;4
QuickSort(100000)(7);1592460;1715960;4
QuickSort(100000)(8);1592460;1715960;4
QuickSort(100000)(9);1592460;1715960;4
QuickSort(100000)(10);1592460;1715960;4
QuickSort(100000)(11);1592460;1715960;4
QuickSort(100000)(12);1592460;1715960;4
QuickSort(100000)(13);1592460;1715960;4
QuickSort(100000)(14);1592460;1715960;4
QuickSort(100000)(15);1592460;1715960;4
QuickSort(100000)(16);1592460;1715960;4
QuickSort(100000)(17);1592460;1715960;4
QuickSort(100000)(18);1592460;1715960;4
QuickSort(100000)(19);1592460;1715960;4
QuickSort(100000)(20);1592460;1715960;4
QuickSort(100000)(21);1592460;1715960;4
QuickSort(100000)(22);1592460;1715960;4
QuickSort(100000)(23);1592460;1715960;4
QuickSort(100000)(24);1592460;1715960;4
QuickSort(100000)(25);1592460;1715960;4
QuickSort(100000)(26);1592460;1715960;4
QuickSort(100000)(27);1592460;1715960;4
QuickSort(100000)(28);1592460;1715960;4
QuickSort(100000)(29);1592460;1715960;4
QuickSort(100000)(30);1592460;1715960;4
Algoritmo;Tamanho;Comparações Média;Movimentações Média;Tempo Médio(ms)
SelectionSort;100;4950;297;0
InsertionSort;100;2651;2754;0
BubbleSort;100;4949;7668;0
QuickSort;100;740;531;0
SelectionSort;1000;499500;2997;0
InsertionSort;1000;245366;246371;0
BubbleSort;1000;499122;733119;0
QuickSort;1000;10771;7965;0
SelectionSort;10000;49995000;29997;138
InsertionSort;10000;24948742;24958747;9
BubbleSort;10000;49965597;74816247;48
QuickSort;10000;139320;108261;0
SelectionSort;100000;4999950000;299997;13439
InsertionSort;100000;2478286854;2478386858;917
BubbleSort;100000;4999048847;7434560580;11754
QuickSort;100000;1715960;1592460;4
